,DN,num,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95,Est P,Max Temp,Avg Temp,D,C,mu,mu/C,geometry,index_right,developed
2,1481.142857,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.201782629,39.19787234,31.84872931,19925.81915,1066,550.0825982,0.630936409,"POLYGON ((-113.34 33.99, -113.32 33.99, -113.32 34.01, -113.34 34.01, -113.34 33.99))",0,0
3,1507.333333,3,0,8.58E-07,0,0,0,0,0,0,0,0.999999142,0,0,0,0,0,4.421979807,39.35425532,32.01831413,21101.43617,1059,557.6303189,0.647356684,"POLYGON ((-113.34 33.97, -113.32 33.97, -113.32 33.989999999999995, -113.34 33.989999999999995, -113.34 33.97))",0,0
4,1444.636364,4,0,0,0,0,0,0,0,0,0,0.999994852,5.15E-06,0,0,0,0,4.594828195,39.5,32.14963061,21727.62766,1059,581.405013,0.676232878,"POLYGON ((-113.34 33.95, -113.32 33.95, -113.32 33.97, -113.34 33.97, -113.34 33.95))",0,0
5,1371.571429,5,0,5.35E-05,0,0,0,4.11E-06,0,0,0,0.959005496,1.40E-05,0,0.040922924,0,0,4.64524323,39.61276596,32.23535018,21738.85106,1058,577.3516326,0.673648605,"POLYGON ((-113.34 33.93, -113.32 33.93, -113.32 33.949999999999996, -113.34 33.949999999999996, -113.34 33.93))",0,0
6,1373.5,6,0,0,0,0,0,0,0,0,0,0.959056747,0,0,0.040939962,3.29E-06,0,4.622727932,39.55531915,32.17627069,21675.8617,1059,578.0068784,0.674858021,"POLYGON ((-113.34 33.910000000000004, -113.32 33.910000000000004, -113.32 33.93, -113.34 33.93, -113.34 33.910000000000004))",0,0
7,1484.466667,7,0,7.27E-05,3.16E-06,0,0,0,0,0,0,0.999924118,0,0,0,0,0,4.589827894,39.46489362,32.07802896,21654.60638,1061,570.2127387,0.665623358,"POLYGON ((-113.34 33.89, -113.32 33.89, -113.32 33.91, -113.34 33.91, -113.34 33.89))",0,0
8,1568,8,0,4.06E-05,1.05E-06,0,0,0,0,0,0,0.999958369,0,0,0,0,0,4.359965105,39.35319149,31.96029846,20598.15957,1059,546.0214235,0.634650246,"POLYGON ((-113.34 33.870000000000005, -113.32 33.870000000000005, -113.32 33.89, -113.34 33.89, -113.34 33.870000000000005))",0,0
9,1701,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.382016565,38.50106383,31.10116726,16127.44681,1061,445.5185985,0.508565203,"POLYGON ((-113.34 33.85, -113.32 33.85, -113.32 33.87, -113.34 33.87, -113.34 33.85))",0,0
10,2272.857143,10,0,2.04E-05,1.22E-05,0,0,0,0,0.004907298,0,0.995060077,0,0,0,0,0,2.009356613,37.32446809,29.91256649,10122.48936,1038,392.7433526,0.437394829,"POLYGON ((-113.34 33.830000000000005, -113.32 33.830000000000005, -113.32 33.85, -113.34 33.85, -113.34 33.830000000000005))",0,0
11,2633.909091,11,0,0,0,0,0,0,0,0.00626875,0,0.99373125,0,0,0,0,0,0.246712301,34.43617021,27.01372636,1555.276596,1023,104.449396,0.104799131,"POLYGON ((-113.34 33.81, -113.32 33.81, -113.32 33.83, -113.34 33.83, -113.34 33.81))",0,0
