num,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95,Est P,Max Temp,Avg Temp,D,C,mu,D/mu,mu/C,geometry
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.067610987,40.48490566,32.93866614,29144.67925,1060,801.4382778,38.35539556,0.92084377,"POLYGON ((-113.34 34.03, -113.32 34.03, -113.32 34.05, -113.34 34.05, -113.34 34.03))"
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.026679442,40.59677419,33.10964382,28839.53226,1068,805.6736491,37.87434274,0.925858768,"POLYGON ((-113.34 34.010000000000005, -113.32 34.010000000000005, -113.32 34.03, -113.34 34.03, -113.34 34.010000000000005))"
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.171368236,40.7625,33.26758898,29266.04688,1066,807.9338161,38.45903011,0.926687851,"POLYGON ((-113.34 33.99, -113.32 33.99, -113.32 34.01, -113.34 34.01, -113.34 33.99))"
3,0,8.58E-07,0,0,0,0,0,0,0,0.999999142,0,0,0,0,0,6.29797124,40.83787879,33.38672138,30053.56061,1059,794.2007572,39.95421128,0.921992852,"POLYGON ((-113.34 33.97, -113.32 33.97, -113.32 33.989999999999995, -113.34 33.989999999999995, -113.34 33.97))"
4,0,0,0,0,0,0,0,0,0,0.999994852,5.15E-06,0,0,0,0,6.259621019,40.85507246,33.42849235,29599.95652,1059,792.0590032,39.53517647,0.921244791,"POLYGON ((-113.34 33.95, -113.32 33.95, -113.32 33.97, -113.34 33.97, -113.34 33.95))"
5,0,5.35E-05,0,0,0,4.11E-06,0,0,0,0.959005496,1.40E-05,0,0.040922924,0,0,6.328302371,40.96521739,33.51172504,29615.24638,1058,786.5370067,39.97856308,0.917724186,"POLYGON ((-113.34 33.93, -113.32 33.93, -113.32 33.949999999999996, -113.34 33.949999999999996, -113.34 33.93))"
6,0,0,0,0,0,0,0,0,0,0.959056747,0,0,0.040939962,3.29E-06,0,6.297629357,40.90724638,33.45196256,29529.43478,1059,787.4296605,39.479098,0.919371797,"POLYGON ((-113.34 33.910000000000004, -113.32 33.910000000000004, -113.32 33.93, -113.34 33.93, -113.34 33.910000000000004))"
7,0,7.27E-05,3.16E-06,0,0,0,0,0,0,0.999924118,0,0,0,0,0,6.344762089,40.85294118,33.3963031,29934.30882,1061,788.2352564,39.56957615,0.920126406,"POLYGON ((-113.34 33.89, -113.32 33.89, -113.32 33.91, -113.34 33.91, -113.34 33.89))"
8,0,4.06E-05,1.05E-06,0,0,0,0,0,0,0.999958369,0,0,0,0,0,6.305180306,40.86461538,33.35134615,29788.10769,1059,789.6309817,39.39691728,0.917801895,"POLYGON ((-113.34 33.870000000000005, -113.32 33.870000000000005, -113.32 33.89, -113.34 33.89, -113.34 33.870000000000005))"
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.113645329,40.59807692,32.98178419,29153.46154,1061,805.3605435,37.48247345,0.919329405,"POLYGON ((-113.34 33.85, -113.32 33.85, -113.32 33.87, -113.34 33.87, -113.34 33.85))"
