Minute,Average of Temperature,Average of GHI
0,19.36158759,0
5,19.31058394,0
10,19.25839416,0
15,19.20520073,0
20,19.15228102,0
25,19.09936131,0
30,19.04662409,0
35,18.99443431,0
40,18.94032847,0
45,18.88868613,0
50,18.8370438,0
55,18.78330292,0
60,18.73029197,0
65,18.68932482,0
70,18.64479927,0
75,18.59972628,0
80,18.55392336,0
85,18.51040146,0
90,18.46751825,0
95,18.42509124,0
100,18.3814781,0
105,18.33713504,0
110,18.29224453,0
115,18.24762774,0
120,18.20547445,0
125,18.16359489,0
130,18.1254562,0
135,18.0850365,0
140,18.04580292,0
145,18.00583942,0
150,17.96596715,0
155,17.92563869,0
160,17.88521898,0
165,17.84689781,0
170,17.80456204,0
175,17.76706204,0
180,17.72536496,0
185,17.6875,0
190,17.64525547,0
195,17.60410584,0
200,17.56487226,0
205,17.52481752,0
210,17.48293796,0
215,17.44306569,0
220,17.4004562,0
225,17.36259124,0
230,17.32162409,0
235,17.28010949,0
240,17.24142336,0
245,17.20100365,0
250,17.16368613,0
255,17.12636861,0
260,17.08722628,0
265,17.05009124,0
270,17.0120438,0
275,16.97326642,0
280,16.93521898,0
285,16.89808394,0
290,16.85866788,0
295,16.82071168,0
300,16.78193431,0
305,16.81989051,0
310,16.85875912,0
315,16.89625912,0
320,16.93576642,0
325,16.97125912,0
330,17.00976277,1.260948905
335,17.04917883,2.634124088
340,17.08667883,4.22810219
345,17.12518248,6.274635036
350,17.16359489,8.780109489
355,17.20127737,11.75912409
360,17.23905109,15.12408759
365,17.39625912,19.08759124
370,17.55702555,23.56021898
375,17.71569343,28.57116788
380,17.87171533,34.26824818
385,18.03111314,40.42153285
390,18.18914234,47.11678832
395,18.34890511,54.08120438
400,18.50583942,61.8120438
405,18.66332117,70.02007299
410,18.82344891,78.43521898
415,18.98156934,87.88868613
420,19.1399635,97.3129562
425,19.39525547,107.7372263
430,19.64872263,118.0903285
435,19.90018248,129.7262774
440,20.15428832,140.520073
445,20.40620438,152.8895985
450,20.66040146,165.2992701
455,20.91395985,178.8585766
460,21.16833942,192.3403285
465,21.42116788,207.415146
470,21.67563869,222.919708
475,21.92937956,237.3184307
480,22.18284672,249.3385036
485,22.41104015,265.5100365
490,22.63877737,281.6359489
495,22.86724453,295.4288321
500,23.09717153,312.7107664
505,23.32773723,329.7582117
510,23.55419708,345.9580292
515,23.7850365,361.8594891
520,24.01222628,375.9343066
525,24.24242701,390.8768248
530,24.47116788,408.1934307
535,24.69981752,420.5054745
540,24.92892336,435.0638686
545,25.12198905,450.2591241
550,25.3149635,463.9735401
555,25.50748175,478.4945255
560,25.70118613,492.4160584
565,25.89589416,506.2235401
570,26.08777372,520.9972628
575,26.28184307,533.8193431
580,26.47381387,547.6642336
585,26.6685219,559.4324818
590,26.86177007,572.8275547
595,27.05620438,583.0775547
600,27.24708029,597.1313869
605,27.39288321,609.0209854
610,27.53658759,621.7463504
615,27.67992701,631.8877737
620,27.82363139,642.1414234
625,27.96614964,655.3923358
630,28.11259124,663.3257299
635,28.25565693,673.1715328
640,28.40164234,681.8585766
645,28.54361314,692.1706204
650,28.68777372,701.6277372
655,28.83166058,709.1660584
660,28.9754562,716.7563869
665,29.07180657,724.120438
670,29.16998175,732.3120438
675,29.26742701,737.8412409
680,29.36523723,744.9288321
685,29.4629562,751.9726277
690,29.56031022,756.1934307
695,29.65702555,763.1505474
700,29.7544708,767.7244526
705,29.85291971,770.9361314
710,29.94781022,773.4489051
715,30.04698905,774.814781
