Row Labels,Average of Temperature,Average of Clearsky GHI,Average of GHI
1,9.6875,148.3152174,132.0996377
2,10.54130435,148.6757246,133.201087
3,10.9067029,149.1449275,123.6231884
4,11.18405797,149.2536232,133.5362319
5,11.21195652,151.1884058,134.9492754
6,11.09365942,152.1666667,130.4746377
7,11.45815217,150.7463768,127.2626812
8,11.99039855,151.865942,130.4347826
9,12.07373188,151.6231884,130.884058
10,11.67663043,151.4311594,120.1123188
11,11.64981884,154.4003623,141.1032609
12,11.16086957,155.7681159,135.9293478
13,11.14293478,159.0344203,141.8713768
14,11.57880435,159.817029,146.0724638
15,11.57626812,159.6811594,135.2826087
16,11.63822464,159.4547101,137.5144928
17,11.81666667,161.673913,153.9365942
18,12.42264493,163.9583333,149.7173913
19,12.7875,163.6086957,141.759058
20,12.4115942,164.5217391,136.7336957
21,11.78586957,164.740942,134.8333333
22,11.47391304,167.057971,150.2554348
23,11.96141304,169.1811594,146.5561594
24,12.3567029,170.3134058,147.8641304
25,12.45452899,172.0833333,155.5072464
26,11.86322464,174.1666667,148.826087
27,11.68478261,175.2880435,144.2228261
28,11.59782609,177.5797101,157.326087
29,11.74456522,178.4365942,156.1865942
30,11.94836957,179.4981884,153.1956522
31,11.82699275,180.6322464,147.4057971
32,11.81992754,183.5199275,169.3224638
33,11.58224638,186.2735507,172.9891304
34,11.74257246,187.0271739,152.7373188
35,11.88423913,188.3822464,162.1123188
36,12.42137681,190.3315217,169.2065217
37,12.27554348,191.6684783,172.8097826
38,12.87681159,194.1304348,179.5
39,13.32427536,195.2572464,172.1612319
40,13.06757246,198.076087,175.0054348
41,12.94818841,199.2880435,177.932971
42,12.38550725,202.2318841,175.5144928
43,12.71413043,203.9184783,177.6050725
44,13.27481884,203.8478261,171.7192029
45,13.50217391,204.067029,163.6068841
46,13.44873188,207.0561594,180.1992754
47,13.85452899,210.8043478,178.7898551
48,14.03695652,211.6521739,178.5217391
49,14.03550725,213.3768116,168.0181159
50,13.29474638,213.8478261,166.2355072
51,12.74619565,216.0018116,171.4221014
52,13.08242754,218.6847826,185.6757246
53,13.1490942,220.6105072,176.8115942
54,12.50797101,224.8913043,192.6702899
55,12.63550725,227.3858696,203.0815217
56,12.98623188,230.057971,209.5362319
57,13.6173913,231.3333333,209.3242754
58,13.81123188,231.7355072,196.5887681
59,13.39384058,233.6539855,194.2228261
60,15.1875,234.9861111,229.7708333
61,14.01449275,235.8297101,209.9474638
62,14.18043478,240.5724638,213.8822464
63,14.51068841,242.2065217,221.9746377
64,14.66213768,242.0742754,219.5742754
65,15.06865942,245.3858696,203.3514493
66,15.54836957,246.3876812,209.3822464
67,14.7067029,247.1304348,203.5452899
68,14.68913043,249.8768116,218.4927536
69,15.45452899,253.3532609,230.6394928
70,16.27246377,255.9818841,234.0108696
71,16.59800725,255.3768116,215.6268116
72,16.99257246,256.6793478,234.8695652
73,17.41938406,258.8315217,235.9673913
74,17.32336957,261.8822464,242.8514493
75,17.16231884,265.2536232,243.7101449
76,17.20271739,265.7300725,234.7971014
77,17.29673913,265.3423913,236.4655797
78,16.84275362,268.6521739,237.1811594
79,17.0326087,271.7318841,241.7391304
80,17.89927536,273.0072464,243.5380435
81,18.11865942,273.5054348,247.490942
82,18.22826087,276.1757246,252.6811594
83,17.35126812,279.2210145,257.2137681
84,17.92028986,281.5,267.2318841
85,18.40887681,281.8550725,266.3550725
86,17.82753623,282.7065217,256.6358696
87,17.59492754,284.5362319,251.9492754
88,17.72916667,288.0978261,255.9764493
89,18.04202899,289.6177536,269.9873188
90,18.45742754,291.6394928,278.4474638
91,18.55797101,293.9402174,276.9474638
92,18.06757246,294.9257246,262.0742754
93,17.7682971,297.3858696,270.9221014
94,18.47481884,298.807971,288.0163043
95,18.64492754,302.1231884,273.7898551
96,18.79565217,302.5018116,276.9347826
97,19.07753623,304.1865942,282.7246377
98,19.63677536,304.173913,290.1358696
99,19.51503623,305.9130435,286.8242754
100,18.9067029,308.1557971,288.4257246
101,18.59746377,311.9311594,285.2880435
102,18.99365942,312.3931159,291.9365942
103,19.49402174,312.8460145,297.1684783
104,19.90181159,315.3097826,306.2898551
105,20.24021739,317.5036232,300.0217391
106,19.42862319,319.9130435,309.5271739
107,19.58242754,321.8423913,294.8115942
108,19.92807971,323.2844203,319.2264493
109,20.48641304,324.5996377,311.0742754
110,21.0625,323.9764493,307.5
111,21.73097826,326.6992754,315.6702899
112,21.80018116,327.048913,300.625
113,21.81485507,327.5996377,307.1557971
114,21.71431159,326.4619565,310.4963768
115,21.89746377,328.5615942,315.0923913
116,22.73623188,329.0289855,315.6956522
117,22.6701087,330.9692029,310.8206522
118,23.33278986,332.6992754,325.9221014
119,23.4067029,331.201087,311.5471014
120,22.46992754,335.3188406,320.7844203
121,22.65960145,337.1123188,315.9130435
122,22.99221014,338.5289855,314.9547101
123,23.35851449,341.0869565,325.0452899
124,23.90036232,341.1105072,330.2518116
125,24.62844203,343.0706522,336.8097826
126,25.08985507,342.4402174,331.375
127,24.16594203,341.0253623,324.9836957
128,23.8201087,341.6557971,327.2318841
129,24.35778986,341.2246377,327.1684783
130,24.51467391,341.9891304,329.3985507
131,24.71050725,344.1050725,336.4836957
132,24.85253623,347.9130435,345.8731884
133,25.27952899,348.2717391,338.6956522
134,26.00942029,347.932971,327.3460145
135,26.29818841,347.6775362,328.9981884
136,26.32336957,349.576087,330.4384058
137,26.025,349.4166667,339.3804348
138,26.48061594,348.1974638,336.5615942
139,26.49438406,348.4112319,325.4076087
140,26.60217391,350.5054348,329.2644928
141,26.91304348,351.5978261,329.9855072
142,26.53768116,352.8405797,338.9492754
143,25.60072464,353.0543478,325.7862319
144,25.32155797,351.3134058,337.4692029
145,26.18677536,354.7101449,346.6322464
146,26.82971014,356.932971,349.5543478
147,26.74655797,356.2373188,348.2336957
148,27.48967391,354.7771739,343.5905797
149,28.36684783,356.3949275,351.8967391
150,28.66521739,357.2318841,349.8641304
151,29.05289855,359.4818841,352.6467391
152,29.74365942,359.826087,353.7336957
153,30.44800725,359.6231884,351.5960145
154,30.35144928,358.0652174,350.7065217
155,30.11902174,361.3423913,360.5072464
156,30.08224638,360.0471014,350.1684783
157,30.41213768,359.0815217,347.5452899
158,30.17355072,360.6938406,354.6503623
159,30.0432971,361.9565217,358.2554348
160,30.12807971,359.9710145,348.6793478
161,29.90869565,360.9873188,346.0362319
162,29.74094203,361.8351449,356.3894928
163,29.77753623,361.1612319,351.7771739
164,30.12065217,363.0307971,359.0887681
165,30.82608696,361.7391304,352.4456522
166,31.4384058,363.5398551,362.0887681
167,31.77934783,361.259058,348.8949275
168,31.64293478,359.8369565,346.7916667
169,32.06358696,361.4873188,360.5634058
170,32.49384058,364.8478261,364.3786232
171,32.72971014,362.1594203,355.673913
172,33.08568841,360.2681159,353.3152174
173,33.03351449,360.1322464,355.740942
174,32.98786232,359.8586957,347.5706522
175,33.20235507,356.0887681,345.8768116
176,33.56123188,356.6177536,349.4583333
177,33.88804348,355.1268116,329.9384058
178,33.89619565,355.3115942,342.557971
179,34.37844203,354.490942,343.6557971
180,34.65307971,352.2735507,346.9492754
181,34.43894928,349.6286232,343.048913
182,34.02137681,351.5126812,342.5797101
183,34.04692029,351.3369565,339.4565217
184,34.52880435,348.8478261,333.5108696
185,34.12789855,347.4583333,332.1902174
186,33.60108696,348.5344203,328.4202899
187,33.70815217,347.2173913,324.4293478
188,33.78496377,345.5978261,332.3134058
189,34.19184783,344.7952899,330.3333333
190,34.28623188,344.4782609,330.9800725
191,34.2048913,342.9003623,317.9094203
192,33.92246377,341.6757246,314.740942
193,33.90018116,339.8387681,318.8949275
194,34.64492754,340.2300725,316.2807971
195,34.64746377,338.4981884,308.5380435
196,34.1682971,336.1213768,304.7445652
197,34.49782609,335.4746377,313.5181159
198,34.65144928,335.6684783,320.9547101
199,34.17481884,334.3043478,304.1032609
200,34.39003623,334.9257246,318.0615942
201,34.34637681,333.0434783,312.0108696
202,34.05507246,332.3550725,305.6594203
203,33.81358696,331.6086957,308.5996377
204,33.8576087,330.6757246,294.8623188
205,33.5865942,329.6014493,296.4601449
206,33.3682971,328.6666667,299.5434783
207,33.78713768,327.7282609,302.8025362
208,34.07518116,328.6050725,316.125
209,34.10072464,328.5797101,313.1141304
210,33.30778986,327.4528986,294.2246377
211,32.91394928,326.2264493,290.798913
212,32.7923913,323.2336957,299.9927536
213,32.8182971,321.3641304,281.3985507
214,32.7557971,322.6032609,287.7373188
215,33.14963768,322.826087,298.5597826
216,33.70362319,324.2047101,312.9184783
217,33.45742754,323.6702899,291.5960145
218,33.58605072,323.1956522,285.3949275
219,33.39311594,321.9800725,272.6467391
220,33.44547101,322.875,305.2898551
221,33.24474638,322.3278986,298.1050725
222,33.11793478,318.4166667,292.9800725
223,33.30615942,317.3623188,296.5942029
224,33.36322464,315.1050725,293.75
225,33.48913043,315.2844203,296.0507246
226,33.45742754,314.0851449,294.9601449
227,32.78188406,310.6358696,283.8061594
228,32.99583333,310.6485507,288.048913
229,33.21086957,309.4456522,294.3786232
230,33.40217391,310.4456522,299.7663043
231,33.12807971,308.6177536,294.9655797
232,32.84565217,307.0398551,287.3315217
233,33.16956522,306.5199275,296.1612319
234,32.82608696,303.7880435,274.4800725
235,32.52681159,303.2083333,279.2083333
236,32.7557971,301.9710145,281.9347826
237,32.83695652,299.9112319,285.7862319
238,32.4048913,298.3623188,269.25
239,32.69311594,297.8858696,280.5960145
240,33.05615942,298.3188406,284.4148551
241,33.05978261,298.4384058,288.576087
242,32.73405797,296.6394928,286.7264493
243,32.47807971,294.5724638,285.1050725
244,32.68423913,293.3605072,282.1014493
245,32.76847826,290.7844203,272.7789855
246,32.49583333,289.0018116,266.3460145
247,32.34166667,289.3876812,276.5398551
248,32.05597826,287.4021739,274.134058
249,32.16884058,285.3949275,268.4184783
250,32.20996377,282.1394928,267.9148551
251,31.49130435,279.0543478,242.0326087
252,30.79221014,276.1431159,243.8985507
253,29.79764493,277.7065217,231.5597826
254,29.82681159,277.6612319,262.5362319
255,30.22626812,278.115942,259.9583333
256,30.68768116,277.1865942,269.7137681
257,30.89166667,274.8442029,263.5869565
258,30.44257246,274.1050725,271.0996377
259,30.35163043,274.0833333,267.6557971
260,30.19782609,271.8007246,257.8876812
261,29.94836957,271.6177536,262.1576087
262,30.05507246,270.4782609,267.8188406
263,29.61485507,267.3206522,248.0144928
264,29.41086957,264.365942,254.2572464
265,29.325,262.8097826,247.673913
266,28.55996377,261.1648551,243.2681159
267,27.72862319,262.9963768,249.8858696
268,27.81014493,262.1721014,249.5869565
269,28.41032609,259.173913,254.2210145
270,28.82155797,256.3442029,246.3623188
271,28.70126812,253.6974638,242.9438406
272,28.60797101,253.7028986,239.6503623
273,28.28804348,251.192029,244.7155797
274,28.03496377,249.125,242.7554348
275,27.42807971,246.6050725,223.2844203
276,27.15199275,243.375,219.8315217
277,26.53913043,242.5144928,232.3351449
278,26.04800725,240.2699275,215.490942
279,25.08822464,240.1811594,228.9384058
280,24.42789855,240.942029,217.557971
281,24.31177536,237.8804348,215.9257246
282,24.61793478,234.1141304,220.384058
283,24.30778986,232.5452899,223.2898551
284,23.67735507,231.6213768,220.7789855
285,23.68224638,231.2173913,220.9384058
286,23.75706522,229.8623188,218.0307971
287,23.86068841,227.5452899,216.4692029
288,24,226.3188406,220.7916667
289,24.12445652,222.7971014,215.5960145
290,24.15561594,219.4112319,203.3949275
291,23.60815217,217.2101449,204.6557971
292,23.28188406,216.0326087,201.0144928
293,23.39438406,214.8931159,206.6938406
294,23.22028986,212.6721014,204.0797101
295,22.54710145,209.8460145,190.5199275
296,22.3259058,209.615942,195.3134058
297,22.8067029,207.2391304,193.134058
298,22.77934783,204.6268116,191.1413043
299,22.5067029,202.375,188.2644928
300,21.23387681,202.5543478,188.6213768
301,20.75307971,199.4836957,185.182971
302,20.37880435,199.1213768,178.2952899
303,20.3365942,197.1721014,185.4148551
304,19.77391304,193.884058,176.7336957
305,19.50688406,193.7427536,185.2518116
306,19.71757246,193.2173913,182.4057971
307,19.77717391,190.9637681,179.557971
