Minute,Average of GHI,Average of Temperature
0,0,2.3000000000000003
10,0,2.2
20,0,2.1
30,0,2.1
40,0,2
50,0,1.9000000000000001
60,0,1.8
70,0,1.8
80,0,1.8
90,0,1.7000000000000002
100,0,1.7000000000000002
110,0,1.7000000000000002
120,0,1.6
130,0,1.6
140,0,1.6
150,0,1.6
160,0,1.6
170,0,1.6
180,0,1.6
190,0,1.7000000000000002
200,0,1.7000000000000002
210,0,1.8
220,0,1.8
230,0,1.8
240,0,1.9000000000000001
250,0,1.9000000000000001
260,0,2
270,0,2.1
280,0,2.1
290,0,2.2
300,0,2.3000000000000003
310,0,2.3000000000000003
320,0,2.3000000000000003
330,0,2.3000000000000003
340,0,2.3000000000000003
350,0,2.3000000000000003
360,0,2.3000000000000003
370,0,2.1
380,0,2
390,0,1.8
400,0,1.6
410,0,1.5
420,0,1.3
430,0,1.5
440,0,1.8
450,0,2
460,12,2.2
470,28,2.4000000000000004
480,50,2.7
490,76,3
500,103,3.4000000000000004
510,132,3.8000000000000003
520,163,4.1000000000000005
530,195,4.5
540,125,4.9
550,104,5.2
560,119,5.6000000000000005
570,148,5.9
580,46,6.300000000000001
590,50,6.6000000000000005
600,95,6.9
610,118,7.2
620,126,7.5
630,280,7.7
640,302,8
650,316,8.200000000000001
660,334,8.5
670,343,8.700000000000001
680,354,8.8
690,280,9
700,311,9.200000000000001
710,317,9.3
720,322,9.5
730,598,9.600000000000001
740,602,9.700000000000001
750,603,9.700000000000001
760,437,9.8
770,434,9.9
780,49,10
790,219,10
800,215,10.100000000000001
810,573,10.100000000000001
820,561,10.100000000000001
830,547,10.200000000000001
840,532,10.200000000000001
850,520,10.200000000000001
860,502,10.100000000000001
870,482,10.100000000000001
880,461,10
890,438,10
900,414,10
910,183,9.700000000000001
920,167,9.4
930,334,9.200000000000001
940,306,8.9
950,277,8.700000000000001
960,246,8.4
970,215,8.4
980,184,8.4
990,153,8.4
1000,122,8.4
1010,93,8.4
1020,65,4.9
1030,39,4.6000000000000005
1040,19,4.3
1050,0,4
1060,0,3.7
1070,0,3.4000000000000004
1080,0,3.1
1090,0,2.9000000000000004
1100,0,2.8000000000000003
1110,0,2.7
1120,0,2.5
1130,0,2.4000000000000004
1140,0,2.3000000000000003
1150,0,2.1
1160,0,2
1170,0,1.9000000000000001
1180,0,1.8
1190,0,1.6
1200,0,1.5
1210,0,1.4000000000000001
1220,0,1.2000000000000002
1230,0,1.1
1240,0,1
1250,0,0.8
1260,0,0.7000000000000001
1270,0,0.6000000000000001
1280,0,0.4
1290,0,0.30000000000000004
1300,0,0.2
1310,0,0
1320,0,-0.1
1330,0,-0.2
1340,0,-0.30000000000000004
1350,0,-0.4
1360,0,-0.5
1370,0,-0.7000000000000001
1380,0,-0.8
1390,0,-0.9
1400,0,-1
1410,0,-1.1
1420,0,-1.1
1430,0,-1.2000000000000002
1440,0,-1.3
1450,0,-1.4000000000000001
1460,0,-1.5
1470,0,-1.6
1480,0,-1.7000000000000002
1490,0,-1.8
1500,0,-1.8
1510,0,-1.9000000000000001
1520,0,-2
1530,0,-2.1
1540,0,-2.1
1550,0,-2.2
1560,0,-2.3000000000000003
1570,0,-2.4000000000000004
1580,0,-2.4000000000000004
1590,0,-2.5
1600,0,-2.6
1610,0,-2.6
1620,0,-2.7
1630,0,-2.7
1640,0,-2.7
1650,0,-2.7
1660,0,-2.8000000000000003
1670,0,-2.8000000000000003
1680,0,-2.8000000000000003
1690,0,-2.8000000000000003
1700,0,-2.8000000000000003
1710,0,-2.8000000000000003
1720,0,-2.8000000000000003
1730,0,-2.8000000000000003
1740,0,-2.8000000000000003
1750,0,-2.8000000000000003
1760,0,-2.8000000000000003
1770,0,-2.8000000000000003
1780,0,-2.8000000000000003
1790,0,-2.8000000000000003
1800,0,-2.8000000000000003
1810,0,-2.7
1820,0,-2.7
1830,0,-2.7
1840,0,-2.7
1850,0,-2.6
1860,0,-2.6
1870,0,-2.1
1880,0,-1.6
1890,0,-1.1
1900,0,-0.7000000000000001
1910,33,-0.2
1920,58,0.30000000000000004
1930,86,0.8
1940,117,1.3
1950,148,1.8
1960,176,2.2
1970,207,2.7
1980,239,3.2
1990,270,3.6
2000,299,4.1000000000000005
2010,329,4.5
2020,356,5
2030,379,5.4
2040,405,5.9
2050,430,6.300000000000001
2060,453,6.6000000000000005
2070,475,7
2080,486,7.4
2090,505,7.800000000000001
2100,523,8.1
2110,538,8.4
2120,552,8.6
2130,564,8.9
2140,570,9.1
2150,578,9.4
2160,214,9.600000000000001
2170,354,9.8
2180,356,9.9
2190,437,10.100000000000001
2200,594,10.200000000000001
2210,592,10.4
2220,587,10.600000000000001
2230,581,10.600000000000001
2240,570,10.700000000000001
2250,561,10.8
2260,553,10.9
2270,540,10.9
2280,526,11
2290,509,11
2300,492,11
2310,472,11
2320,451,11
2330,429,11
2340,405,11
2350,380,10.8
2360,354,10.600000000000001
2370,327,10.4
2380,300,10.200000000000001
2390,271,10
2400,241,9.9
2410,211,9.9
2420,181,9.9
2430,150,9.9
2440,121,9.9
2450,92,9.9
2460,64,8.1
2470,40,7.9
2480,20,7.800000000000001
2490,0,7.6000000000000005
2500,0,7.4
2510,0,7.300000000000001
2520,0,7.1000000000000005
2530,0,6.9
2540,0,6.7
2550,0,6.5
2560,0,6.300000000000001
2570,0,6.1000000000000005
2580,0,5.9
2590,0,5.7
2600,0,5.6000000000000005
2610,0,5.4
2620,0,5.300000000000001
2630,0,5.1000000000000005
2640,0,5
2650,0,4.800000000000001
2660,0,4.7
2670,0,4.6000000000000005
2680,0,4.5
2690,0,4.4
2700,0,4.2
2710,0,4.1000000000000005
2720,0,4
2730,0,3.9000000000000004
2740,0,3.8000000000000003
2750,0,3.7
2760,0,3.5
2770,0,3.4000000000000004
2780,0,3.3000000000000003
2790,0,3.2
2800,0,3.1
2810,0,3
2820,0,2.9000000000000004
2830,0,2.9000000000000004
2840,0,2.8000000000000003
2850,0,2.8000000000000003
2860,0,2.7
2870,0,2.7
2880,0,2.6
2890,0,2.5
2900,0,2.5
2910,0,2.4000000000000004
2920,0,2.4000000000000004
2930,0,2.3000000000000003
2940,0,2.3000000000000003
2950,0,2.2
2960,0,2.1
2970,0,2
2980,0,1.9000000000000001
2990,0,1.8
3000,0,1.7000000000000002
3010,0,1.5
3020,0,1.3
3030,0,1.1
3040,0,0.9
3050,0,0.7000000000000001
3060,0,0.5
3070,0,0.30000000000000004
3080,0,0.1
3090,0,-0.2
3100,0,-0.4
3110,0,-0.7000000000000001
3120,0,-0.9
3130,0,-1
3140,0,-1.1
3150,0,-1.2000000000000002
3160,0,-1.3
3170,0,-1.5
3180,0,-1.6
3190,0,-1.6
3200,0,-1.6
3210,0,-1.6
3220,0,-1.6
3230,0,-1.7000000000000002
3240,0,-1.7000000000000002
3250,0,-1.7000000000000002
3260,0,-1.7000000000000002
3270,0,-1.7000000000000002
3280,0,-1.7000000000000002
3290,0,-1.7000000000000002
3300,0,-1.7000000000000002
3310,0,-1.1
3320,0,-0.6000000000000001
3330,0,-0.1
3340,0,0.4
3350,33,1
3360,57,1.5
3370,85,2
3380,114,2.4000000000000004
3390,145,2.9000000000000004
3400,176,3.3000000000000003
3410,207,3.8000000000000003
3420,238,4.2
3430,268,4.9
3440,298,5.5
3450,327,6.1000000000000005
3460,355,6.800000000000001
3470,382,7.4
3480,408,8
3490,432,8.6
3500,456,9.1
3510,477,9.700000000000001
3520,496,10.3
3530,515,10.8
3540,533,11.4
3550,548,11.700000000000001
3560,562,12.100000000000001
3570,575,12.4
3580,585,12.8
3590,594,13.200000000000001
3600,601,13.5
3610,606,13.700000000000001
3620,609,13.8
3630,611,14
3640,610,14.100000000000001
3650,608,14.3
3660,604,14.4
3670,598,14.5
3680,590,14.600000000000001
3690,581,14.600000000000001
3700,562,14.700000000000001
3710,549,14.8
3720,531,14.8
3730,514,14.8
3740,497,14.700000000000001
3750,477,14.700000000000001
3760,457,14.600000000000001
3770,434,14.600000000000001
3780,410,14.5
3790,385,14.100000000000001
3800,359,13.700000000000001
3810,332,13.4
3820,303,13
3830,274,12.600000000000001
3840,245,12.200000000000001
3850,214,12.200000000000001
3860,184,12.200000000000001
3870,153,12.200000000000001
3880,123,12.200000000000001
3890,93,12.200000000000001
3900,66,9.200000000000001
3910,41,9
3920,20,8.9
3930,0,8.700000000000001
3940,0,8.5
3950,0,8.3
3960,0,8.200000000000001
3970,0,7.9
3980,0,7.7
3990,0,7.4
4000,0,7.2
4010,0,6.9
4020,0,6.7
4030,0,6.5
4040,0,6.300000000000001
4050,0,6
4060,0,5.800000000000001
4070,0,5.6000000000000005
4080,0,5.4
4090,0,5.300000000000001
4100,0,5.1000000000000005
4110,0,5
4120,0,4.800000000000001
4130,0,4.7
4140,0,4.5
4150,0,4.4
4160,0,4.2
4170,0,4.1000000000000005
4180,0,3.9000000000000004
4190,0,3.8000000000000003
4200,0,3.6
4210,0,3.5
4220,0,3.3000000000000003
4230,0,3.1
4240,0,3
4250,0,2.8000000000000003
4260,0,2.7
4270,0,2.6
4280,0,2.5
4290,0,2.4000000000000004
4300,0,2.3000000000000003
4310,0,2.2
4320,0,2.1
4330,0,2.1
4340,0,2.1
4350,0,2
4360,0,2
4370,0,2
4380,0,2
4390,0,2
4400,0,2.1
4410,0,2.1
4420,0,2.1
4430,0,2.2
4440,0,2.2
4450,0,2.3000000000000003
4460,0,2.3000000000000003
4470,0,2.4000000000000004
4480,0,2.5
4490,0,2.6
4500,0,2.6
4510,0,2.7
4520,0,2.7
4530,0,2.7
4540,0,2.7
4550,0,2.8000000000000003
4560,0,2.8000000000000003
4570,0,2.7
4580,0,2.7
4590,0,2.6
4600,0,2.6
4610,0,2.5
4620,0,2.5
4630,0,2.4000000000000004
4640,0,2.3000000000000003
4650,0,2.2
4660,0,2.1
4670,0,2
4680,0,1.9000000000000001
4690,0,1.9000000000000001
4700,0,1.9000000000000001
4710,0,1.8
4720,0,1.8
4730,0,1.8
4740,0,1.8
4750,0,2.3000000000000003
4760,0,2.9000000000000004
4770,0,3.5
4780,0,4.1000000000000005
4790,32,4.7
4800,56,5.2
4810,84,5.800000000000001
4820,114,6.300000000000001
4830,144,6.800000000000001
4840,175,7.4
4850,207,7.9
4860,240,8.4
4870,271,9.1
4880,301,9.700000000000001
4890,330,10.4
4900,359,11
4910,386,11.700000000000001
4920,412,12.3
4930,437,13
4940,460,13.700000000000001
4950,482,14.3
4960,496,15
4970,515,15.700000000000001
4980,533,16.400000000000002
4990,549,16.8
5000,563,17.2
5010,575,17.5
5020,586,17.900000000000002
5030,595,18.3
5040,602,18.7
5050,608,18.900000000000002
5060,611,19.1
5070,612,19.3
5080,612,19.6
5090,610,19.8
5100,606,20
5110,600,20.1
5120,592,20.200000000000003
5130,582,20.3
5140,565,20.400000000000002
5150,552,20.5
5160,537,20.6
5170,521,20.5
5180,503,20.400000000000002
5190,482,20.3
