Minute,Average of GHI,Average of Temperature
0,0,6.15
10,0,6.05
20,0,5.9
30,0,5.75
40,0,5.6
50,0,5.45
60,0,5.3
70,0,5.2
80,0,5.05
90,0,4.95
100,0,4.8
110,0,4.7
120,0,4.55
130,0,4.45
140,0,4.3
150,0,4.2
160,0,4.1
170,0,4
180,0,3.95
190,0,3.85
200,0,3.85
210,0,3.75
220,0,3.7
230,0,3.6
240,0,3.55
250,0,3.55
260,0,3.45
270,0,3.45
280,0,3.45
290,0,3.35
300,0,3.35
310,0,3.25
320,0,3.25
330,0,3.15
340,0,3.15
350,0,3.1
360,0,3.05
370,0,3
380,0,3
390,0,2.9
400,0,2.85
410,0,2.8
420,0,2.75
430,0,3.05
440,0,3.3
450,0,3.65
460,0,3.95
470,12,4.25
480,15.5,4.5
490,27.5,5
500,57,5.45
510,77,5.9
520,125,6.35
530,176.5,6.8
540,142.5,7.25
550,217.5,7.75
560,269,8.2
570,299,8.7
580,326.5,9.1
590,355,9.6
600,382.5,10.05
610,408,10.55
620,432,11
630,455,11.45
640,477,11.9
650,495,12.35
660,514,12.8
670,531,13.1
680,546.5,13.45
690,559.5,13.7
700,571.5,14
710,581.5,14.35
720,590,14.65
730,597,14.8
740,602,14.95
750,605,15.15
760,606.5,15.3
770,604.5,15.45
780,602.5,15.6
790,598.5,15.7
800,592.5,15.75
810,584.5,15.8
820,569.5,15.9
830,558.5,15.95
840,546,16
850,530.5,15.95
860,501.5,15.9
870,496,15.8
880,433.5,15.75
890,402.5,15.7
900,372.5,15.65
910,319,15.35
920,326,15.1
930,358,14.9
940,331,14.65
950,302.5,14.4
960,273,14.15
970,215,14.15
980,213,14.15
990,158.5,14.15
1000,128.5,14.15
1010,100,14.15
1020,93,10.55
1030,66,10.3
1040,32,10.05
1050,20.5,9.85
1060,0,9.6
1070,0,9.3
1080,0,9.1
1090,0,8.95
1100,0,8.8
1110,0,8.65
1120,0,8.55
1130,0,8.4
1140,0,8.25
1150,0,8.25
1160,0,8.15
1170,0,8.15
1180,0,8.05
1190,0,8
1200,0,7.95
1210,0,7.95
1220,0,8
1230,0,8.05
1240,0,8.05
1250,0,8.1
1260,0,8.1
1270,0,8
1280,0,7.9
1290,0,7.8
1300,0,7.7
1310,0,7.55
1320,0,7.45
1330,0,7.3
1340,0,7.15
1350,0,6.95
1360,0,6.85
1370,0,6.7
1380,0,6.55
1390,0,6.4
1400,0,6.2
1410,0,6.05
1420,0,5.9
1430,0,5.75
1440,0,5.55
1450,0,5.45
1460,0,5.4
1470,0,5.3
1480,0,5.2
1490,0,5.05
1500,0,4.95
1510,0,4.9
1520,0,4.85
1530,0,4.75
1540,0,4.7
1550,0,4.7
1560,0,4.6
1570,0,4.55
1580,0,4.55
1590,0,4.55
1600,0,4.55
1610,0,4.45
1620,0,4.45
1630,0,4.4
1640,0,4.35
1650,0,4.3
1660,0,4.2
1670,0,4.15
1680,0,4.1
1690,0,4.05
1700,0,3.95
1710,0,3.9
1720,0,3.85
1730,0,3.85
1740,0,3.75
1750,0,3.7
1760,0,3.6
1770,0,3.55
1780,0,3.5
1790,0,3.4
1800,0,3.35
1810,0,3.3
1820,0,3.2
1830,0,3.15
1840,0,3.1
1850,0,3
1860,0,2.95
1870,0,3.25
1880,0,3.6
1890,0,3.95
1900,0,4.2
1910,14.5,4.55
1920,22.5,4.9
1930,38,5.4
1940,56.5,5.95
1950,114,6.4
1960,144.5,6.95
1970,175,7.5
1980,143,8
1990,237.5,8.55
2000,268,9.1
2010,297.5,9.65
2020,326.5,10.2
2030,355,10.75
2040,382,11.35
2050,408,11.8
2060,433,12.3
2070,456.5,12.7
2080,473,13.15
2090,493,13.65
2100,513,14.1
2110,530,14.35
2120,546,14.65
2130,560,14.95
2140,570.5,15.2
2150,581,15.5
2160,590,15.8
2170,597,15.95
2180,602,16.05
2190,605.5,16.25
2200,606.5,16.4
2210,606,16.5
2220,603.5,16.7
2230,599.5,16.75
2240,593.5,16.8
2250,585.5,16.9
2260,570.5,16.95
2270,559.5,17
2280,546.5,17.05
2290,531,17.05
2300,515,17.05
2310,497,17
2320,478,16.95
2330,457,16.95
2340,434.5,16.9
2350,410.5,16.6
2360,385,16.3
2370,358,15.95
2380,334,15.65
2390,305.5,15.35
2400,275.5,15.05
2410,246,15.05
2420,215,15.05
2430,184.5,15.05
2440,153.5,15.05
2450,123.5,15.05
2460,96.5,10.7
2470,68.5,10.55
2480,43,10.3
2490,22,10.1
2500,0,9.85
2510,0,9.7
2520,0,9.45
2530,0,9.35
2540,0,9.2
2550,0,9.1
